Source,Camera_Name,Camera_ID,Apple_HLS(public),JPEG_URL(public),Latitude,Longitude
Elko,US93 Palamino EL MM22.5,159,https://d3wse.its.nv.gov:443/elkoxcd01/us93_palamino_el_mm22_5_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/US93_Palamino_EL_MM22_5_public.jpg,40.407718,-114.827751
Las Vegas,3073 Charleston & Las Vegas Blvd,3073,https://d1wse1.its.nv.gov:443/vegasxcd01/3073_charleston_and_las_vegas_blvd_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/3073_charleston_and_las_vegas_blvd_public.jpg,36.158676,-115.147758
Las Vegas,95 NB at Durango,3164,https://d1wse1.its.nv.gov:443/vegasxcd01/95_nb_at_durango_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/95_nb_at_durango_public.jpg,36.299335,-115.285278
Las Vegas,Airport Connector Grier (Tunnel),801,https://d1wse1.its.nv.gov:443/vegasxcd04/airport_connector_grier_tunnel_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/Airport_Connector_Grier_Tunnel_public.jpg,36.070785,-115.146453
Las Vegas,Airport Connector NB Grier,800,https://d1wse1.its.nv.gov:443/vegasxcd01/airport_connector_nb_grier_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/airport_connector_nb_grier_public.jpg,36.06995,-115.146484
Las Vegas,Amigo & St. Rose,5185,https://d1wse2.its.nv.gov:443/vegasxcd06/amigo_and_st._rose_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/amigo_and_st._rose_public.jpg,35.987899,-115.140563
Las Vegas,Ann Rd & Durango,3330,https://d1wse1.its.nv.gov:443/vegasxcd01/ann_rd_and_durango_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/ann_rd_and_durango_public.jpg,36.263172,-115.279037
Las Vegas,Ann Road & CC-215 SB,3582,https://d1wse1.its.nv.gov:443/vegasxcd01/ann_rd_and_cc-215_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/ann_rd_and_cc-215_public.jpg,36.261226,-115.3283
Las Vegas,Ann Road at Commerce,4190,https://d1wse1.its.nv.gov:443/vegasxcd01/ann_rd_and_commerce_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/ann_rd_and_commerce_public.jpg,36.261379,-115.144149
Las Vegas,Bermuda & George Crockett,9990,https://d1wse1.its.nv.gov:443/vegasxcd01/bermuda_and_george_crockett_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/vegas_images/bermuda_and_george_crockett_public.jpg,36.0611,-115.154502
